Browser Names
Chrome
Chrome Mobile
Mobile Safari
Firefox 4
Firefox 5
Internet Explorer 11
Robot/Spider
Safari
Apple WebKit
Opera
Chrome 46
IE Mobile 11
Chrome 43
Unknown
Safari 8
Internet Explorer 9
Opera Mini
Chrome 27
Internet Explorer 10
Firefox 38
Chrome 30
Chrome 44
Safari 4
Firefox Mobile
Chrome 45
Chrome 42
IE Mobile 10
Chrome 39
Firefox 35
Chrome 18
Chrome 29
Chrome 38
Internet Explorer 7
Firefox 31
Chrome 40
Safari 6
Chrome 33
Firefox 22
Firefox 34
Opera Mobile
Chrome 41
Chrome 31
Internet Explorer 8
Chrome 37
Firefox 3
Firefox 40
Safari 5
Chrome 28
Firefox 39
Chrome 34
Firefox 29
Chrome 36
Safari 7
Firefox 11
Vivaldi
Firefox 12
Chrome 35
Chrome 25
Firefox 37
Firefox 33
Chrome 32
BlackBerry
Firefox 21
Firefox 36
Opera 12
Opera 29
Chrome 26
Firefox 24
Firefox 30
Firefox 28
Chrome 11
Firefox 32
Chrome 23
Chrome 22
Firefox 26
Firefox 18
Firefox 20
Firefox 17
Firefox 16
Chrome 24
Chrome 21
Firefox 10
Firefox 27
Firefox 15
Firefox 25
Firefox 23
Chrome 20
Firefox
Firefox 19
Chrome 12
Firefox 13
Chrome 19
Firefox 14
Opera 30
Opera 28
Chrome 17
Mozilla
Opera 19
Chrome 10
Chrome 14
Chrome 16
Chrome 15
Chrome 8
IE Mobile 9
Opera 11
Internet Explorer
Firefox 9
Firefox 6
Firefox 8
Opera 27
Chrome 13
Firefox 7
Chrome 9
Opera 18
Silk
IE
Other
Opera 15
Opera 20
Internet Explorer 6
Edge
Opera 16
Downloading Tool
Opera 26
Opera 25
Opera 24
NetFront
Xbox
Samsung Internet
Opera 17
Chrome Mobile iOS
Opera 10
Opera 23
Opera 9
Chromium
Firefox 2
SeaMonkey
Thunderbird
Samsung Dolphin 2
Facebook
Firefox 1.5
PhantomJS
Amazon Silk
Omniweb
CFNetwork
Flock
Mobile Safari UI/WKWebView
Konqueror
IE Mobile
Adobe AIR application
Android
Yandex Browser
Firefox Mobile 23
Internet Explorer 5
Thunderbird 3
Edge Mobile
Firefox 3 Mobile
Puffin
Camino 2
UC Browser
Internet Explorer 5.5
Pinterest
Mobil Robot/Spider
Lynx
Vienna
Apple Mail
QQ Browser Mobile
Sogou Explorer
Firefox iOS
IE Mobile 7
Maxthon
Outlook 2007
BlackBerry WebKit
Pale Moon (Firefox Variant)
QQ Browser
Epiphany
WordPress
IE Mobile 6
Mail.ru Chromium Browser
Camino
